Country,x,y,z
Albania,10,9.5,9.3
Albania,10,9.5,9.3
Algeria,10,8.4,8.7
Angola,8.6,4.9,5.1
Argentina,10,9.9,9.6
Armenia,9.4,10,9
Australia,10,10,10
Austria,10,10,10
Azerbaijan,10,8.6,8.8
Bangladesh,8.4,8.6,6
Belarus,10,10,9.4
Belgium,10,10,10
Benin,9.3,7.8,2
Bhutan,10,10,5
Bolivia,8.4,9,5
Bosnia-Herzegovina,10,10,5
Botswana,7.6,9.6,6.3
Brazil,10,9.8,8.3
Bulgaria,10,9.9,8.6
Burkina_Faso,7.9,8.2,1.9
Burundi,10,7.6,4.8
Cambodia,8.6,7.3,4.1
Cameroon,9,7.5,4.6
Canada,10,10,10
Central_African_Republic,5.2,6.8,2.2
Chad,6.6,5.1,1.2
Chile,10,9.9,9.9
China,9.1,9.2,6.5
Colombia,9.1,9.1,8.1
Congo,7,7.6,1.5
Congo_Democratic_Rep.,10,5.2,2.8
Costa_Rica,10,9.8,9.5
Cote_dIvoire,8.7,8.2,2.2
Croatia,10,10,9.7
Cuba,10,9.5,9.3
Cyprus,10,10,10
Czech_Republic,10,10,9.9
Denmark,10,10,10
Dominican_Republic,8.8,8.5,8.4
Ecuador,8.9,8.7,8.5
Egypt,10,9.9,9.5
El_Salvador,8.8,9.3,7.4
Estonia,10,10,9.7
Ethiopia,6.8,5.5,2.7
Finland,10,10,9.8
France,10,10,9.9
Gabon,10,9.3,4.2
Gambia,9.5,9,5.9
Georgia,9.3,10,8.7
Germany,10,10,9.9
Ghana,10,8.8,1.5
Greece,10,10,9.9
Guatemala,8.4,9.3,6.4
Guinea,8.4,7.7,2
Guinea-Bissau,7.9,7.7,2.1
Guyana,8.9,9.8,8.4
Haiti,4.7,5.8,2.7
Honduras,8.8,9.1,8.3
Hungary,10,10,9.8
Iceland,10,10,9.9
India,8.5,9.4,4
Indonesia,9.2,8.7,6.1
Iran,10,9.6,9
Iraq,7.7,8.7,8.6
Ireland,10,9.8,9.1
Israel,10,10,10
Italy,10,10,10
Jamaica,9.2,9.4,8.2
Japan,10,10,10
Jordan,10,9.7,9.9
Kazakhstan,10,9.3,9.8
Kenya,7.9,6.3,3
Korea._North,5.8,10,8.2
Korea._South,10,9.8,10
Kuwait,10,9.9,10
Kyrgyz_Republic,9.4,8.9,9.3
Laos,8.2,7.6,7.1
Latvia,10,9.9,8.7
Lebanon,10,9.9,8.1
Lesotho,8.9,8.2,3
Liberia,6.8,7.5,1.7
Libya,10,9.1,9.7
Lithuania,10,9.7,9.2
Luxembourg,10,10,9.8
Macedonia,10,9.9,9.1
Madagascar,6.7,5.1,1.2
Malawi,7.9,8.8,4.1
Malaysia,10,9.8,9.6
Mali,10,7.5,2.4
Malta,10,10,10
Mauritania,9.4,5.8,4
Mauritius,10,10,9.3
Mexico,10,9.6,8.5
Moldova,10,8.8,7.6
Mongolia,8,6.4,5.9
Montenegro,10,10,9.6
Morocco,10,8.5,7.7
Mozambique,7.5,5.1,2
Myanmar,8.6,8.1,8
Namibia,5.8,9,3.4
Nepal,9.2,9.1,4.4
Netherlands,10,10,9.8
New_Zealand,10,10,10
Nicaragua,8.3,8.7,6.8
Niger,9.1,5.8,1.1
Nigeria,9.3,6.8,2.9
Norway,10,10,9.8
Oman,10,9.3,9.7
Pakistan,7.8,9.1,6.2
Panama,9.1,9.4,7.5
Papua_New_Guinea,10,4,1.9
Paraguay,9,9.7,8.8
Peru,9.3,8.6,7.5
Philippines,8.7,9.2,7.3
Poland,10,9.8,9.7
Portugal,10,10,10
Qatar,10,10,9.8
Romania,10,10,7.9
Russia,10,9.7,7.2
Rwanda,6.8,7.6,6.1
Saudi_Arabia,10,9.7,10
Senegal,9,7.8,4.7
Serbia,10,9.9,9.7
Sierra_Leone,7.8,6.2,1.3
Singapore,10,10,10
Slovak_Republic,10,10,9.9
Slovenia,10,10,9.9
South_Africa,10,9.3,6.6
Spain,10,10,10
Sri_Lanka,7.8,9.6,9.5
Sudan,10,5.6,2.4
Sweden,10,10,9.9
Switzerland,10,10,10
Syria,8,9,9.6
Taiwan,9.4,10,10
Tajikistan,6.7,7.4,9.5
Tanzania,6.8,5.6,1.5
Thailand,9.3,9.8,9.3
Togo,8.9,6.2,1.2
Trinidad_and_Tobago,9.3,9.5,9.2
Tunisia,10,9.8,9.2
Turkey,10,10,9.5
Turkmenistan,10,6,6.3
Uganda,7.5,7.9,1.9
Ukraine,10,9.6,9.6
United_Arab_Emirates,10,10,9.8
United_Kingdom,10,10,9.9
United_States,10,9.9,10
Uruguay,10,10,9.6
Uzbekistan,10,8.7,10
Venezuela,10,9.3,9.4
Vietnam,8.9,9.6,7.6
Yemen,7.4,5.5,5.3
Zambia,5.2,6.5,4.4
Zimbabwe,6.7,7.7,3.7